Description,Africa-America,Africa-CentralAsia,Africa-EastAsia,Africa-SouthAsia,America-CentralAsia,America-EastAsia,America-SouthAsia,CentralAsia-EastAsia,CentralAsia-SouthAsia,EastAsia-SouthAsia
UBE2L3,0.4413,0.1814,0.8468,0.1967,0.6482,0.5464,0.7653,0.3582,0.9686,0.3353
YDJC,0.5001,0.9039,0.8251,0.9849,0.4369,0.7226,0.5391,0.7057,0.7821,0.8541
CCDC116,0.7084,0.8525,0.041,0.3326,0.5343,0.2478,0.7967,0.0989,0.5664,0.7015
AP000553.3,0.6939,1.0,0.3753,1.0,0.8599,0.856,0.8145,0.5595,1.0,0.5764
SDF2L1,0.0802,0.354,0.2895,0.7467,0.3169,0.6263,0.1975,0.8703,0.5777,0.5166
MIR130B,0.0001,0.0982,0.0927,0.0161,0.4605,0.4345,0.2006,0.984,0.5551,0.948
AP000553.5,0.8435,0.7121,0.6803,0.9241,0.847,0.4573,0.7868,0.3258,0.577,0.7491
AP000553.7,0.3682,0.9987,0.2314,0.5607,0.9822,0.8788,1.0,0.7304,0.8804,0.7389
AP000553.2,0.9064,0.9203,0.1686,0.1786,0.9549,0.2856,0.1583,0.302,0.1762,0.8289
PPIL2,0.5421,0.96,0.382,0.7975,0.5827,0.8176,0.7666,0.4675,0.7993,0.6207
YPEL1,0.6676,0.9755,0.5082,0.5253,0.7166,0.877,0.8527,0.5763,0.5855,0.9864
RN7SL280P,1.0,0.7294,0.1353,0.1585,0.6844,0.412,0.396,0.6377,0.4809,0.9525
AP000553.8,0.7158,0.9485,0.7219,0.7179,1.0,0.6873,0.6936,1.0,1.0,0.684
MAPK1,0.0213,0.6604,0.1567,0.3264,0.0609,0.4571,0.026,0.1272,0.5206,0.065
PPM1F,0.017,0.9342,0.0792,0.9957,0.0729,0.7705,0.0704,0.1769,0.9007,0.1745
AC245452.1,0.156,0.751,0.1225,0.2501,0.3825,0.789,0.8935,0.4993,0.5071,0.738
TOP3B,0.2448,0.9935,0.2541,0.7803,0.3593,0.8468,0.5006,0.5003,0.8236,0.5594
PRAMENP,0.0316,0.836,0.2083,0.5564,0.1526,0.9837,0.1965,0.9177,0.8209,0.8212
IGLVI-70,0.6361,0.9524,0.3275,0.4273,0.5811,1.0,0.3804,0.9948,0.2745,0.9649
IGLV4-69,0.4039,0.7118,0.1971,0.5387,0.1686,0.0044,0.3635,0.7479,0.4351,0.1181
AC245452.5,0.9724,0.3123,0.6545,0.6511,0.4604,0.7253,0.7262,1.0,1.0,0.6854
IGLV10-54,0.7259,0.4871,0.3167,0.9555,1.0,1.0,0.2877,1.0,0.133,1.0
AC245452.4,0.7982,0.9519,0.7149,0.9506,1.0,0.8646,1.0,1.0,0.0001,0.7054
IGLV10-67,0.0186,1.0,0.1821,0.9497,0.1941,0.4682,0.0395,0.4626,0.4464,0.3527
IGLV1-62,0.2617,0.3423,0.2988,0.4964,0.7356,0.2582,0.9466,0.0001,0.1677,0.1989
AC245517.5,0.2173,0.551,0.5383,0.5349,0.6145,0.4359,0.4205,0.0001,0.0001,0.0001
IGLV8-61,0.5501,0.8657,0.6088,0.8193,0.1246,0.4843,0.7434,0.2409,0.9665,0.8143
AC245517.1,0.3298,0.1902,0.0001,0.3334,0.8506,0.7103,0.6929,0.4611,0.5425,0.0734
ABHD17AP5,0.9738,0.7673,0.9123,0.7756,0.4955,0.9352,0.7562,0.4099,0.4672,0.9667
IGLV4-60,0.1974,0.3702,0.1822,0.2561,0.772,1.0,1.0,0.7951,1.0,1.0
AC245517.2,0.7923,0.9991,0.5275,0.5251,1.0,1.0,1.0,0.456,0.4605,0.0001
IGLV6-57,0.9711,0.5162,0.3105,0.9377,0.4973,0.5844,0.9899,0.9172,0.9136,0.9756
IGLVI-56,0.6866,0.2798,0.6601,0.6792,1.0,1.0,1.0,1.0,1.0,1.0
TOP3BP1,0.0001,0.0001,0.0137,0.0139,0.0001,0.1101,0.4585,0.1585,0.3368,0.7022
VPREB1,0.9556,0.9722,0.9513,0.1643,0.4634,0.0001,0.1375,0.4655,0.963,0.1405
AC245060.6,0.2684,0.3564,1.0,0.9596,0.0476,0.3114,0.4143,0.3449,0.4175,0.9659
AC245060.5,0.4112,0.3336,0.0543,0.0644,0.9,0.3623,0.0883,0.3603,0.1158,0.0216
AC245060.2,0.0021,0.126,0.126,0.0566,0.1877,0.0948,0.244,0.6803,0.8346,0.5423
AC245060.4,0.2815,0.05,0.2301,0.084,0.1716,0.7785,0.3752,0.5716,0.5837,0.7873
IGLV5-52,0.1569,0.6674,0.3211,0.7881,0.0602,0.7484,0.0796,0.1951,0.816,0.2322
IGLV1-51,0.801,0.5998,0.784,0.4668,0.9689,0.8699,0.9587,0.9316,0.5319,0.7585
IGLV1-50,1.0,0.9497,0.3107,0.9531,1.0,0.6532,0.7146,1.0,0.0001,0.7167
IGLV9-49,0.6093,0.7196,0.7605,0.7696,0.4587,0.0886,0.4256,0.2214,1.0,0.8357
IGLV5-48,0.0571,0.294,0.7119,0.7191,0.9333,0.2571,0.2498,0.4623,0.4685,0.0001
IGLV1-47,0.923,0.5981,0.2962,0.6509,0.7854,0.2657,0.5168,0.1442,0.7906,0.0636
IGLV7-46,0.3932,0.7178,0.4942,0.6745,0.2303,0.0714,0.1692,0.1536,0.9521,0.1119
IGLV5-45,0.7111,0.8829,0.7676,0.9275,0.1887,0.7119,0.1243,0.9351,0.696,0.9642
IGLV1-44,0.0832,0.0336,0.0585,0.3362,0.5854,0.0578,0.2764,0.0029,0.0141,0.2177
IGLV7-43,0.984,0.4202,0.6481,0.9872,0.1932,0.1902,0.9182,0.3225,0.3217,0.3844
IGLV1-41,0.3283,0.0001,0.0001,0.0989,1.0,1.0,0.6569,0.0001,0.4552,0.2329
IGLV1-40,0.2182,0.3789,0.3941,0.3334,0.6173,0.2089,0.8909,0.9951,0.1479,0.1103
IGLV1-36,0.9545,1.0,0.9557,0.9853,0.4667,0.0001,0.0713,0.4667,0.5082,0.0728
ZNF280B,0.8347,0.6501,0.4731,0.6232,0.4413,0.6253,0.4197,0.2782,0.9933,0.2624
ZNF280A,0.0941,0.0001,0.3306,0.0258,1.0,1.0,0.7947,1.0,0.2476,0.7975
PRAME,0.2905,0.117,0.2596,0.8405,0.0873,1.0,0.4469,0.0903,0.3913,0.3876
IGLV3-31,0.8676,0.6144,0.8728,0.3191,1.0,0.687,1.0,1.0,0.0001,1.0
GGTLC2,0.721,0.9488,0.951,0.1438,1.0,0.7092,0.7314,0.0001,0.3349,0.464
IGLV3-25,0.1566,0.84,0.1486,0.0261,0.1979,0.0001,0.0125,0.1513,0.2406,0.0125
IGLV2-23,0.248,0.2958,0.2459,0.3443,0.9592,0.9422,0.3816,0.954,0.4488,0.3883
IGLV3-21,0.2407,0.3971,0.1173,0.1573,0.7541,0.1155,0.3447,0.0396,0.4187,0.5708
IGLV3-19,0.583,0.6278,0.9153,0.5998,0.9742,0.311,0.8444,0.4065,0.9754,0.6251
IGLV2-18,0.7706,0.7056,0.7681,1.0,0.4545,0.0001,0.9309,0.4605,1.0,0.9239
IGLV3-16,0.9519,0.9546,0.3372,0.627,0.0001,0.5758,1.0,1.0,1.0,1.0
IGLV2-14,0.1329,0.4331,0.3215,0.2527,0.1808,0.1477,0.1315,0.3598,0.2706,0.8598
IGLV3-12,0.3077,0.462,0.3992,0.6962,0.8478,0.5009,0.9178,0.0001,0.3335,0.4559
AC244157.2,0.3418,0.9233,0.3401,0.2191,0.4578,0.0001,0.4594,0.4597,0.8185,0.4677
IGLV2-11,0.1116,0.1489,0.1295,0.336,0.0205,0.0694,0.0223,0.0245,0.8668,0.0187
IGLV3-10,0.4349,0.4507,0.1986,0.2061,0.9961,0.1117,0.1398,0.5503,0.2791,0.7915
IGLV3-9,0.7633,0.7625,0.7465,0.7685,0.2274,0.5631,0.864,1.0,0.8144,0.526
IGLV2-8,0.6265,0.5601,0.653,0.9059,0.6696,1.0,0.2576,1.0,0.3222,0.4755
IGLV2-5,0.7606,0.6382,0.7541,0.7538,1.0,1.0,1.0,1.0,1.0,1.0
IGLV4-3,0.7012,0.7762,0.9284,0.7513,1.0,1.0,0.5742,0.5321,1.0,0.9619
IGLV3-1,0.2784,0.1661,0.5684,0.5651,0.7287,0.7174,0.8116,0.7996,0.8286,0.8665
IGLJ1,0.7529,0.7619,0.7865,0.0632,0.4265,1.0,0.3622,0.5279,0.3423,0.3354
IGLC1,0.6925,0.7886,0.1244,0.8056,0.8911,0.1668,0.5266,0.0012,0.8941,0.0018
IGLC2,0.9925,0.5408,0.2745,0.396,0.7895,0.3773,0.5715,0.121,0.38,0.9444
IGLJ3,0.0254,0.0001,0.3259,0.0001,0.5826,0.4157,0.1889,1.0,0.0001,0.7121
IGLC3,0.7047,0.7009,0.8928,0.4483,0.9757,0.6334,0.6029,0.6686,0.4782,0.2602
IGLC4,0.6789,0.624,0.9236,0.9811,0.0001,0.2924,0.464,1.0,0.4243,1.0
IGLC5,0.3594,0.363,0.3593,0.2458,0.8708,0.8638,0.0734,0.991,0.1578,0.0589
IGLC6,0.8176,0.2427,0.8653,0.1526,0.5517,0.8229,0.4151,0.6626,0.7606,0.496
IGLC7,0.3087,0.8803,0.3313,0.3606,0.3706,0.8741,0.289,0.3984,0.6967,0.2875
RSPH14,0.1631,0.1444,0.7722,0.6145,0.8318,0.3308,0.3359,0.252,0.2398,0.9151
GNAZ,0.7498,0.3332,0.7106,0.7691,0.3151,0.6501,0.6478,0.3227,0.2539,0.9306
RF00017,0.3406,0.0001,0.0001,0.0203,1.0,0.7163,0.7881,0.0001,0.2486,0.1024
RAB36,0.0593,0.538,0.0416,0.5279,0.1042,0.7255,0.1028,0.1199,0.9783,0.1093
BCR,0.232,0.1945,0.1277,0.5412,0.0483,0.7035,0.1233,0.0857,0.4182,0.1146
RN7SL263P,0.1432,0.9483,0.7184,0.9508,0.4574,0.6548,0.2362,1.0,0.0001,0.7233
FBXW4P1,0.0598,0.9549,0.1245,0.3886,0.2071,0.8135,0.5977,0.37,0.8774,0.8327
ZDHHC8P1,0.0001,0.0677,0.0001,0.3319,0.0351,0.0001,1.0,0.1832,0.9316,1.0
LINC01659,0.5537,0.1882,0.47,1.0,0.4598,0.6578,0.763,1.0,0.3206,0.9844
AP000344.1,0.0073,0.6113,0.036,0.0192,0.0549,0.2815,0.3345,0.0701,0.0355,1.0
FAM230I,0.0042,0.8568,0.8636,0.5688,0.0381,0.0305,0.0685,0.6137,0.7253,0.7578
IGLL1,0.3268,0.7847,0.329,0.3396,0.0001,0.0001,0.0995,0.0001,0.2392,0.1021
AP000345.2,0.7345,0.9854,0.6216,1.0,0.6473,0.65,0.7081,0.6552,0.9061,0.9511
DRICH1,0.9614,0.4947,0.0473,0.3156,0.2775,0.0627,0.3477,0.3582,0.8729,0.5153
AP000346.2,0.3236,0.7542,0.4451,0.1621,0.6481,0.923,0.7523,0.6881,0.446,0.6341
ASLP1,0.8738,0.1777,0.4881,0.3427,0.1264,0.7088,0.3429,0.9,0.8368,1.0
AP000347.1,0.0891,0.3618,0.0652,0.1018,0.4812,0.8214,0.9213,0.6433,0.5157,0.7709
RGL4,0.0165,0.2284,0.0643,0.9958,0.2443,0.9746,0.014,0.7486,0.2057,0.1472
ZNF70,0.967,0.8143,0.3343,0.7886,0.8167,0.5364,0.8006,0.5194,0.9738,0.4513
VPREB3,0.0445,0.1838,0.3239,0.1605,0.8036,0.466,0.4819,0.7148,0.8013,0.9261
C22orf15,0.0565,0.5734,0.0696,0.0511,0.1172,0.0067,0.9924,0.0534,0.1246,0.0064
CHCHD10,0.695,0.8036,0.6792,0.9235,0.9085,0.5517,0.6593,0.6372,0.7743,0.7824
MMP11,0.4065,0.8935,0.1117,0.9508,0.4546,0.5147,0.6769,0.2458,0.9948,0.3174
SMARCB1,0.7557,0.5417,0.6901,0.7442,0.473,0.9214,0.6082,0.5446,0.8178,0.6396
DERL3,0.6167,0.69,0.4964,0.8377,0.9044,0.8028,0.3353,0.7399,0.4348,0.2966
AP000350.5,0.4523,0.1397,0.8248,0.6082,0.4048,0.5031,0.8702,0.2278,0.2708,0.6208
SLC2A11,0.7734,0.8373,0.2394,0.2659,0.4577,0.395,0.3116,0.268,0.1509,0.7866
AP000350.7,0.7886,0.3917,0.1494,0.0067,0.1473,0.0929,0.0127,0.4812,0.0651,0.19
RN7SL268P,0.89,0.3338,0.0469,0.0715,0.4178,0.1192,0.0954,0.5824,0.6286,0.845
MIF,0.6404,0.6787,0.7197,0.5211,0.5168,0.9422,0.8489,0.4636,0.3714,0.8041
MIF-AS1,0.6385,0.6719,0.7273,0.498,0.5215,0.9491,0.8264,0.4514,0.3748,0.7845
AP000350.6,0.0042,0.0032,0.0016,0.0049,0.7134,0.6742,0.8572,0.5906,0.8429,0.6602
AP000350.2,0.8387,0.8313,0.8538,0.9608,0.8817,0.8777,0.5407,0.8287,0.6791,0.5694
GSTT2B,0.773,0.4864,0.4806,0.8468,0.4584,0.2311,0.7683,0.0001,0.2426,0.1006
DDTL,0.0038,0.2788,0.4121,0.0259,0.0331,0.0999,0.2341,0.8654,0.2026,0.2894
AC253536.6,0.4361,0.9647,0.6548,0.1719,0.3267,0.1407,0.5221,0.6249,0.0963,0.0544
DDT,0.0347,0.1819,0.5025,0.2314,0.403,0.3314,0.3963,0.6947,0.9199,0.7014
AC253536.1,0.0955,0.9942,0.2512,0.1445,0.164,0.8559,1.0,0.3227,0.2094,0.9981
AC253536.5,0.5242,0.2895,0.8563,0.5374,0.0001,0.2876,0.0001,1.0,0.0001,0.7118
GSTT4,0.5368,0.5649,0.531,0.5259,0.0001,0.0001,0.0951,0.0001,0.2532,0.0988
CABIN1,0.4663,0.7859,0.595,0.9935,0.2568,0.8106,0.452,0.3185,0.7343,0.5668
AC253536.3,0.7631,0.2624,0.1512,0.4743,0.215,0.4035,0.6175,0.9852,0.9652,0.6694
SUSD2,0.4798,0.2575,0.5489,0.5521,0.5461,0.9847,0.2394,0.7015,0.0752,0.2482
GGT5,0.5539,0.2648,0.8172,1.0,1.0,1.0,0.4534,0.328,0.3549,0.6807
POM121L9P,0.3919,0.7711,0.929,0.227,0.345,0.5594,0.2912,0.9765,0.6461,0.4569
AP000354.1,0.0001,0.0001,0.3383,0.0202,0.0001,0.2787,0.196,1.0,0.1954,0.0976
SPECC1L,0.1084,0.9294,0.0606,0.3877,0.1091,0.6042,0.0356,0.1372,0.404,0.0411
ADORA2A,0.6946,0.5839,0.4531,0.656,0.3093,0.6864,0.3234,0.2102,0.8362,0.2445
ADORA2A-AS1,0.6745,0.8049,0.8285,0.9628,0.8316,0.4244,0.5625,0.5561,0.7023,0.8628
UPB1,0.6941,0.2461,0.0296,0.5107,0.3121,0.2001,0.4948,0.0528,0.5755,0.0535
AP000355.1,0.7494,0.677,0.0124,0.7045,0.5508,0.1519,1.0,0.1131,0.5635,0.1944
GUCD1,0.3634,0.9594,0.4179,0.5924,0.3793,0.9173,0.1308,0.4385,0.5474,0.2718
SNRPD3,0.1857,0.3953,0.6893,0.021,0.6646,0.4552,0.4567,0.7099,0.1552,0.1223
GGT1,0.3827,0.3991,0.8305,0.7664,0.9166,0.3172,0.5301,0.3249,0.5175,0.6709
LRRC75B,0.5174,0.9102,0.6133,0.781,0.4999,0.9923,0.7769,0.832,0.787,0.7519
GGT1,0.3961,0.4334,0.8082,0.7689,0.9739,0.3258,0.5458,0.3168,0.5463,0.6438
AP000356.1,0.9429,0.9361,0.5683,0.4751,0.9633,0.6547,0.3552,0.9988,0.1749,0.0916
AP000356.3,0.4865,0.4841,0.5936,0.5853,0.998,0.5718,0.5039,0.4839,0.6275,0.8476
AP000356.2,0.0836,0.4944,0.0213,0.0513,0.5286,0.8551,0.6832,0.4308,0.5065,0.8234
PIWIL3,0.099,0.0001,0.3332,0.3286,0.4576,0.6542,0.4661,1.0,1.0,1.0
SGSM1,0.333,0.0001,0.3347,0.0292,1.0,1.0,0.5423,1.0,0.7287,0.5405
KIAA1671,0.9353,0.0999,0.9751,0.8844,0.5962,0.9846,0.9776,0.032,0.1025,0.8956
AL022323.3,0.996,0.6733,1.0,1.0,0.639,1.0,0.7649,0.4707,0.7353,1.0
AL022323.4,0.761,0.9554,0.6871,0.0972,0.5314,0.6552,0.3155,0.9966,0.5699,0.3445
CRYBB2,0.3752,0.1846,0.5352,0.3846,0.4609,0.9969,0.8251,0.8474,0.9197,0.6533
Z99916.3,0.5374,0.5594,0.5339,0.6804,0.0001,0.0001,1.0,0.0001,1.0,1.0
AL022332.1,0.8444,0.7377,0.8396,0.695,0.7735,0.6894,0.8673,1.0,0.543,1.0
AL022332.2,0.48,0.4648,0.4919,0.7109,0.0001,0.0001,0.0735,0.0001,1.0,0.0698
IGLL3P,0.7156,0.3659,0.6369,0.9091,0.4566,0.7063,0.6493,1.0,0.5133,0.3106
AL022324.1,0.6381,0.6341,0.6286,0.4694,0.0001,0.0001,0.0986,0.0001,0.2452,0.1011
AL022324.2,0.9508,0.9653,0.776,0.9595,0.4875,0.7923,0.3162,0.5088,0.7945,0.3488
LRP5L,0.0497,0.1783,0.1495,0.5076,0.4741,0.9728,0.323,0.8607,0.6244,0.6107
AL022324.3,0.824,0.1384,0.467,0.8576,0.3006,0.7376,1.0,0.5594,0.2984,0.7239
AL008721.1,0.0933,0.0177,0.3373,0.3358,0.7866,0.3456,0.7325,0.1887,0.6841,0.8613
CRYBB2P1,0.0672,0.7045,0.6651,0.4879,0.0593,0.2757,0.2346,0.9535,0.7567,0.8544
AL008721.2,0.1257,0.2607,0.0334,0.115,0.7506,0.5223,0.8737,0.4368,0.6448,0.6151
AL022329.1,0.3674,0.9051,0.2182,0.4914,0.6332,0.9761,0.206,0.5137,0.5503,0.2162
GRK3,0.1097,0.9927,0.0337,0.0793,0.1379,0.5036,0.0023,0.0934,0.0106,0.0097
AL022329.2,0.2474,0.8258,0.1704,0.0511,0.1563,0.1574,0.0954,0.4978,0.3802,0.7938
YES1P1,0.6785,0.5033,0.9394,0.156,0.3939,0.9015,0.2188,0.6783,0.5372,0.3626
RNA5SP494,0.7179,0.9743,0.7216,0.7127,0.4603,0.2838,0.0001,0.6183,0.4619,0.7186
MYO18B,0.3458,0.5983,0.7128,0.8117,0.5122,0.0361,0.0975,0.1913,0.2588,0.886
Z98949.1,0.0001,0.0001,0.0001,0.0226,0.0001,0.0001,0.1833,0.0001,0.1891,0.1853
Z98949.3,0.0001,0.0001,0.3301,0.0254,0.0001,0.2977,0.2117,1.0,0.2355,0.803
AL022337.1,0.9526,0.972,0.9548,0.3397,0.4596,0.0001,1.0,0.4596,1.0,1.0
SEZ6L,0.7931,0.086,0.5668,0.2322,0.2166,0.8672,0.7233,0.4933,0.9234,0.7375
ASPHD2,0.9751,0.4549,0.4008,0.1192,0.4612,0.5182,0.1672,0.2125,0.3105,0.1033
HPS4,0.3224,0.9142,0.1197,0.662,0.3483,0.5554,0.1188,0.1898,0.4487,0.0567
SRRD,0.4649,0.3164,0.8572,0.5423,0.8193,0.4744,0.859,0.3461,0.6493,0.5206
TFIP11,0.2692,0.3635,0.6463,0.343,0.8166,0.5715,0.9356,0.6671,0.9212,0.6531
Z95115.1,0.8604,0.4394,0.8924,0.5026,0.2751,0.9721,0.2928,0.3037,0.8044,0.3147
TPST2,0.4133,0.6264,0.0799,0.4984,0.254,0.4024,0.208,0.0939,0.8496,0.0671
HMGB1P10,0.1587,0.3294,0.2838,0.1675,0.7996,0.5602,0.8616,0.9216,0.79,0.8974
CRYBB1,0.2763,0.5473,0.8322,0.0813,0.3181,0.6578,0.1166,0.5924,0.5284,0.2882
CRYBA4,0.4892,0.5317,0.0534,0.1607,0.9957,0.1636,0.2699,0.4676,0.4052,0.0695
MIAT,0.7364,0.1948,0.0618,0.2652,0.181,0.2491,0.3648,0.6222,0.829,0.5277
Z99774.1,0.0716,0.1229,0.0505,0.442,0.8434,0.5691,0.5664,0.711,0.5402,0.4
RF01875,0.2955,0.1095,0.0331,0.0616,0.4851,0.4368,0.446,0.7244,0.9977,0.6897
MIATNB,0.4329,0.8859,0.1146,0.35,0.4288,0.1228,0.2876,0.2871,0.6445,0.7477
RF01877,0.1837,0.1772,0.0548,0.8242,0.6321,0.5433,0.4213,0.7259,0.3315,0.2547
LINC01422,0.2458,0.4544,0.0454,0.2889,0.8384,0.4483,0.9111,0.3997,0.8566,0.6119
Z97353.1,0.8015,1.0,1.0,1.0,1.0,1.0,0.698,0.8143,0.6128,1.0
Z97353.2,0.1362,0.2078,0.0905,1.0,0.9967,0.8775,0.6537,0.9977,0.5407,0.5394
AL008638.3,0.0001,0.0001,0.3305,0.0199,0.0001,0.2821,0.0245,1.0,0.2355,0.2932
AL008638.6,0.3387,0.9521,0.7164,0.2321,0.4453,0.3504,1.0,0.0001,1.0,0.0752
LINC01638,1.0,0.9496,0.9566,0.7188,1.0,1.0,1.0,0.0001,1.0,0.0677
MN1,0.7769,0.831,0.9985,0.3199,0.5968,0.8746,0.4906,0.8072,0.1524,0.3035
PITPNB,0.6033,0.5072,0.5027,0.2279,0.2718,0.9073,0.1133,0.2163,0.4936,0.0863
TTC28-AS1,0.8007,0.9717,0.9805,0.9311,0.8677,0.8301,0.8827,0.9643,0.9734,0.9351
RF02198,0.7229,0.9501,0.1282,0.7101,0.0001,0.2178,0.0001,0.3218,0.0001,0.1523
RF02199,0.8647,0.9691,0.6695,0.1898,0.8993,0.7001,0.2491,0.8595,0.1088,0.2651
TTC28,0.4385,0.206,0.2077,0.4642,0.8238,0.8583,0.882,0.966,0.6617,0.7007
CHEK2,0.9285,0.6865,0.7511,0.0742,0.8074,0.7636,0.1856,0.5579,0.2288,0.078
HSCB,0.2028,0.4124,0.8813,0.4432,0.697,0.3039,0.627,0.4591,0.918,0.4973
CCDC117,0.4217,0.5021,0.5016,0.1353,0.1674,0.8612,0.0448,0.1105,0.2009,0.0185
XBP1,0.6083,0.4312,0.6288,0.1649,0.7811,0.9511,0.3892,0.5932,0.4577,0.2485
Z93930.2,0.1893,0.2497,0.398,0.4998,0.9647,0.7491,0.4048,0.755,0.5215,0.5716
Z93930.3,1.0,0.2627,0.95,0.3679,0.1457,0.9856,0.2103,0.203,0.5893,0.3797
Z93930.1,0.3439,0.0001,0.0001,0.0213,1.0,0.7162,0.7943,0.0001,0.2389,0.0638
ZNRF3,0.0135,0.5859,0.1965,0.3478,0.217,0.3637,0.1975,0.8244,0.6761,0.7487
ZNRF3-AS1,0.3142,0.6127,0.8654,0.2234,0.0001,0.2972,0.0611,1.0,0.1734,0.3014
KREMEN1,0.6439,0.703,0.8064,0.7173,0.256,0.8056,0.2115,0.0736,0.9707,0.1063
EMID1,0.6389,0.7525,0.661,0.5542,0.9074,0.2529,0.7638,0.3337,0.7976,0.1842
RHBDD3,0.884,0.6584,0.4209,0.34,0.5364,0.646,0.4928,0.4604,0.2714,0.9583
AL031186.1,0.8288,0.8997,0.2069,0.9388,0.9849,0.4735,0.909,0.4383,0.711,0.2733
EWSR1,0.5434,0.8385,0.9377,0.2273,0.724,0.6186,0.6075,0.8354,0.3732,0.3712
GAS2L1,0.7655,0.4944,0.2614,0.9332,0.0528,0.4217,0.2368,0.1721,0.1403,0.1867
RASL10A,0.5176,0.8572,0.2339,0.3438,0.6694,0.6477,1.0,0.5426,0.3924,0.8012
AC002059.1,0.1717,0.9774,0.7085,0.5935,0.0261,0.283,0.2009,0.8108,0.7658,0.6143
AP1B1,0.8277,0.6886,0.4774,0.5035,0.5174,0.633,0.3713,0.3595,0.7535,0.2519
AC002059.3,0.3872,0.5159,0.3225,0.6057,0.8781,0.8592,0.0803,0.6352,0.1708,0.0577
RFPL4AP6,0.9241,0.3443,0.637,0.9149,1.0,0.673,1.0,0.45,1.0,0.9866
RFPL1S,0.0156,0.7089,0.174,0.2339,0.1435,0.6792,0.2531,0.6082,0.4553,0.8194
RFPL1,0.0011,0.0665,0.0165,0.0655,0.2991,0.23,0.1284,0.9652,0.5415,0.5594
AC000035.1,0.0042,0.2009,0.336,0.0001,0.2036,0.2727,0.0091,0.8428,0.4623,0.7141
NEFH,0.003,0.1389,0.0729,0.0284,0.1807,0.1312,0.1385,0.9646,0.9467,0.9892
THOC5,0.3555,0.7402,0.8786,0.019,0.4266,0.3631,0.0851,0.6743,0.0078,0.0347
AC005529.1,0.7166,0.9745,0.7138,0.1134,0.4643,0.0001,0.4641,0.4605,0.7308,0.4615
NIPSNAP1,0.4158,0.8671,0.1737,0.3873,0.5134,0.5853,0.1281,0.2933,0.2479,0.0908
NF2,0.4725,0.4262,0.5907,0.3686,0.9382,0.8798,0.8999,0.8411,0.9555,0.788
RPEP4,0.7396,0.9993,0.1042,0.0057,0.8455,0.3597,0.0973,0.3843,0.078,0.665
AC004882.1,0.9556,0.9508,0.7112,0.3305,0.0001,0.0726,1.0,1.0,1.0,0.5359
CABP7,0.2362,0.0704,0.402,0.4085,0.4734,0.7282,0.7907,0.2689,0.4597,0.9948
ZMAT5,0.4576,0.1629,0.5547,0.4178,0.4506,0.882,0.9195,0.358,0.7618,0.7973
UQCR10,0.0011,0.0415,0.1315,0.1318,0.247,0.1331,0.1018,0.6359,0.6235,0.9847
ASCC2,0.8299,0.532,0.9651,0.7819,0.6165,0.8697,0.9489,0.5694,0.727,0.8246
MTMR3,0.0758,0.8741,0.1158,0.8392,0.1131,0.9792,0.064,0.2141,0.6021,0.1211
AC003681.1,0.1978,0.9857,0.0629,0.3764,0.172,0.5563,0.7619,0.0829,0.4095,0.4528
HORMAD2-AS1,0.249,0.2084,0.9679,0.4765,0.6924,0.0846,0.3929,0.0584,0.2919,0.324
CNN2P1,0.5981,0.4972,0.5752,0.3186,0.3081,0.729,0.307,0.9101,0.7666,0.8322
HORMAD2,0.8535,0.6156,0.888,0.6338,1.0,1.0,1.0,1.0,0.0001,1.0
LIF-AS1,0.0001,0.0001,0.0001,0.0231,0.0001,0.0001,0.1922,0.0001,0.1963,0.2013
LIF,0.3886,0.8665,0.0871,0.9839,0.4161,0.3177,0.1677,0.1713,0.8294,0.0827
AC004264.1,0.9119,0.4658,0.3343,0.5622,1.0,0.5426,0.917,0.1086,0.1927,0.8535
OSM,0.7356,0.5075,0.5806,0.7601,0.3292,0.8686,0.9968,0.1696,0.5248,0.944
AC004264.2,0.9062,0.2959,0.1407,0.105,0.1259,0.502,0.4133,0.1158,0.0731,0.826
CASTOR1,0.4561,0.3272,0.9857,0.3077,0.7248,0.3714,0.6715,0.2274,0.9997,0.2016
TBC1D10A,0.4571,0.3936,0.8069,0.6325,0.8295,0.364,0.7582,0.3159,0.6272,0.5176
SF3A1,0.318,0.7067,0.4256,0.1749,0.1896,0.8759,0.0498,0.2428,0.2425,0.0601
CCDC157,0.8654,0.8066,0.7135,0.8697,0.4532,0.8883,0.9906,0.6304,0.6844,0.8321
RNF215,0.8624,0.4427,0.4895,0.6942,0.3882,0.5288,0.5534,0.1869,0.2136,0.8029
SEC14L2,0.7712,0.3745,0.155,0.5685,0.1709,0.3835,0.7901,0.0511,0.3046,0.5481
AC004832.5,0.5369,0.687,0.4944,0.5327,0.2378,0.1503,0.2147,0.801,0.8841,0.8909
AC004832.4,0.5426,0.2354,0.1934,0.5427,0.5181,0.5905,0.9179,0.999,0.563,0.5935
MTFP1,0.4574,0.1582,0.7525,0.3159,0.6798,0.4391,0.8635,0.2096,0.7017,0.3286
AC004832.6,0.7599,0.822,0.7305,0.078,0.9602,1.0,0.3656,0.9241,0.5744,0.3681
AC004832.2,0.712,0.4851,0.896,0.0635,0.0375,0.2832,0.1939,0.5275,0.6703,0.3172
SEC14L3,0.7783,0.0233,0.371,0.1228,0.0189,0.3634,0.3143,0.3247,0.9213,0.6166
